Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
Almost Famous,Almost Famous,2000,Cameron Crowe,,,181875
Apollo 13,Apollo 13,1995,Ron Howard,,,112384
Tillbaka till framtiden del III,Back to the Future Part III,1990,Robert Zemeckis,,,99088
Tillbaka till framtiden del II,Back to the Future Part II ,1989,Robert Zemeckis,,,96874
Top Gun,Top Gun,1986,Tony Scott,,,92099
Strul,Strul,1988,Jonas Frick,,,96184
Dödligt vapen 3,Lethal Weapon 3,1992,Richard Donner,,,104714
Dödligt vapen 2,Lethal Weapon 2,1989,Richard Donner,,,97733
Demolition Man,Demolition Man,1993,Marco Brambilla,,,106697
Du har mail,You've Got Mail,1998,Nora Ephron,,,128853
Varning för Jönssonligan,Varning för Jönssonligan,1981,Jonas Cornell,,,83276
Jönssonligan spelar högt,Jönssonligan spelar högt,2000,Thomas Ryberger,,,269410
Jönssonligan får guldfeber,Jönssonligan får guldfeber,1984,Mikael Ekman,,,87527
Jönssonligan dyker upp igen,Jönssonligan dyker upp igen,1986,Mikael Ekman,,,91314
Jönssonligan & den svarta diamanten,Jönssonligan & den svarta diamanten,1992,Hans Åke Gabrielsson,,,104581
Jönssonligan & Dynamit-Harry,Jönssonligan & Dynamit-Harry,1982,Mikael Ekman,,,84189
En prins i New York,Coming to America ,1988,John Landis,,,94898
Den galopperande detektiven rider igen,Ace Ventura - When Nature Calls,1995,Steve Oedekerk,,,112281
Wolf,Wolf,1994,Mike Nichols,,,111742
The Waterboy,The Waterboy,1998,Frank Coraci,,,120484
Robocop 3,Robocop 3,1993,Fred Dekker,,,107978
Mördande legender 2,Urban Legends: Final Cut,2000,John Ottman,,,192731
Mördande legender,Urban Legend,1998,Jamie Blanks,,,146336
Junior,Junior,1994,Ivan Reitman,,,110216
Gräsklipparmannen 2,Lawnmower Man 2: Beyond Cyberspace,1996,Farhad Mann,,,116839
Fortress 2,Fortress 2,1999,Geoff Murphy,,,179183
Den blå lagunen,The Blue Lagoon,1980,Randal Kleiser,,,80453
Kingpin,Kingpin,1996,"Bobby Farrelly, Peter Farrelly",,,116778
Stand by Me,Stand by Me,1986,Rob Reiner,,,92005
Spy Hard,Spy Hard,1996,Rick Friedberg,,,117723
Plump Fiction,Plump Fiction,1996,Bob Koherr,,,117350
Nakna pistolen 33&#8531; - den slutgiltiga förolämpningen,Naked Gun 33&#8531;: The Final Insult,1994,Peter Segal,,,110622
Tillbaka till framtiden,Back to the Future,1985,Robert Zemeckis,,,88763
The Long Kiss Goodnight,The Long Kiss Goodnight,1996,Renny Harlin,,,116908
"South Park: Bigger, Longer & Uncut","South Park: Bigger, Longer & Uncut",1999,Trey Parker,,,158983
Speed,Speed,1994,Jan De Bont,,,111257
Snuten i Hollywood,Beverly Hills Cop,1984,Martin Brest,,,86960
Oss torpeder emellan,The Whole Nine Yards,2000,Jonathan Lynn,,,190138
Panic Room,Panic Room,2002,David Fincher,,,258000
Robin Hood - karlar i trikåer,Robin Hood: Men in Tights,1993,Mel Brooks,,,107977
Romeo + Julia,Romeo + Juliet,1996,Baz Luhrmann,,,117509
Ocean's Eleven,Ocean's Eleven,2001,Steven Soderbergh,,,240772
Förhandlaren,The Negotiator,1998,F Gary Gray,,,120768
Die Hard,Die Hard,1988,John McTiernan,,,95016
Die Hard - Hämningslöst,Die Hard: With a Vengeance,1995,John McTiernan,,,112864
Desperado,Desperado,1995,Robert Rodriguez,,,112851
Bandits,Bandits,2001,Barry Levinson,,,219965
Austin Powers: The Spy Who Shagged Me,Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,,,145660
3000 Miles to Graceland,3000 Miles to Graceland,2001,Demian Lichtenstein,,,233142
Gudarna måste vara tokiga IV,Heonggong ya fungkwong,1993,Wellson Chin,,,107102
Play it to the Bone,Play it to the Bone,1999,Ron Shelton,,,196857
The Lost Boys,The Lost Boys,1987,Joel Schumacher,,,93437
The Boogeyman,The Boogeyman,1980,Ulli Lommel,,,80464
Mortal Kombat,Mortal Kombat,1995,Paul W S Anderson,,,113855
Gremlins,Gremlins,1984,Joe Dante,,,87363
The Wedding Singer,The Wedding Singer,1998,Frank Coraci,,,120888
Truman Show,The Truman Show,1998,Peter Weir,,,120382
The Big Lebowski,The Big Lebowski,1998,Joel Coen,,,118715
Nattens ängel,Nattens engel,1998,Shaky Gonzalez,,,138647
Noll tolerans,Noll tolerans,1999,Anders Nilsson,,,198837
Köplust,Needful Things,1993,Fraser Clarke Heston,,,107665
"Entity, okänt väsen",The Entity,1982,Sidney J Furie,,,82334
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,,,120735
Vingar av glas,Vingar av glas,2000,Reza Bagher,,,258291
Det våras för Frankenstein,Young Frankenstein,1974,Mel Brooks,,,72431
Tandläkaren,The Dentist,1996,Brian Yuzna,,,116075
Scream 2,Scream 2,1997,Wes Craven,,,120082
Gifta på låtsas,Green Card,1990,Peter Weir,,,99699
Det blir aldrig som man tänkt sig,Det blir aldrig som man tänkt sig,2000,"Måns Herngren, Hannes Holm",,,158581
Wild Things,Wild Things,1998,John McNaughton,,,120890
Vem satte dit Roger Rabbit?,Who Framed Roger Rabbit,1988,Robert Zemeckis,,,96438
Den vilda jakten på lyckan,The War of the Roses,1989,Danny DeVito,,,98621
Proof of Life,Proof of Life,2000,Taylor Hackford,,,228750
Petri tårar,Petri tårar,1995,Erich Hörtnagl,,,114121
Jakten på Rosa Pantern,Trail of the Pink Panther,1982,Blake Edwards,,,84814
Happy Gilmore,Happy Gilmore,1996,Dennis Dugan,,,116483
Hollywood Gigolo,Deuce Bigalow: Male Gigolo,1999,Mike Mitchell (IV),,,205000
Fletch,Fletch,1985,Michael Ritchie,,,89155
Ett oanständigt förslag,Indecent Proposal,1993,Adrian Lyne,,,107211
Dogma,Dogma,1999,Kevin Smith,,,120655
Batman Forever,Batman Forever,1995,Joel Schumacher,,,112462
Bad Boys,Bad Boys,1995,Michael Bay,,,112442
Under belägring,Under Siege,1992,Andrew Davis,,,105690
Sex dagar sju nätter,Six Days Seven Nights,1998,Ivan Reitman,,,120828
Mr Magoo,Mr Magoo,1997,Stanley Tong,,,119718
Höstlegender,Legends of the Fall,1994,Edward Zwick,,,110322
Snuff Movie,Tesis,1996,Alejandro Amenábar,,,117883
Leva livet,Leva livet,2001,Mikael Håfström,,,298412
Twins,Twins,1988,Ivan Reitman,,,96320
Mumien,The Mummy,1999,Stephen Sommers,,,120616
Dante's Peak,Dante's Peak,1997,Roger Donaldson,,,118928
Big Daddy,Big Daddy,1999,Dennis Dugan,,,142342
A.I.,A.I. - Artificial Intelligence,2001,Steven Spielberg,,,212720
Apornas planet,Planet of the Apes,2001,Tim Burton,,,133152
Blue Streak,Blue Streak,1999,Les Mayfield,,,181316
"Oh, vilket party",The Party,1968,Blake Edwards,,,63415
Det våras för rymden,Spaceballs,1987,Mel Brooks,,,94012
The Relic,The Relic,1997,Peter Hyams,,,120004
The One,The One,2001,James Wong,,,267804
Ghost,Ghost,1990,Jerry Zucker,,,99653
eXistenZ,eXistenZ,1999,David Cronenberg,,,120907
Den siste actionhjälten,Last Action Hero,1993,John McTiernan,,,107362
Dansar med vargar,Dances with Wolves,1990,Kevin Costner,,,99348
Beetlejuice,Beetlejuice,1988,Tim Burton,,,94721
Replacement Killers,The Replacement Killers,1998,Antoine Fuqua,,,120008
Patrioten,The Patriot,2000,Roland Emmerich,,,187393
River Wild,The River Wild,1994,Curtis Hanson,,,110997
Kontakt,Contact,1997,Robert Zemeckis,,,118884
Hellraiser: Hellseeker,Hellraiser: Hellseeker,2002,Rick Bota,,,274546
Hellraiser III,Hellraiser III - Hell on Earth,1992,Anthony Hickox,,,104409
Hellbound: Hellraiser 2,Hellbound: Hellraiser 2,1988,Tony Randel,,,95294
Hellraiser,Hellraiser,1987,Clive Barker,,,93177
Sleepy Hollow,Sleepy Hollow,1999,Tim Burton,,,162661
Jurassic Park,Jurassic Park,1993,Steven Spielberg,,,107290
Den onda cirkeln,The Craft,1996,Andrew Fleming,,,115963
Gone Fishin': Den som fiskar efter mycket,Gone Fishin',1997,Christopher Cain,,,119214
Tjejen som visste för mycket,Foul Play,1978,Colin Higgins,,,77578
Tjejen som jobbade skift,Swing Shift,1984,Jonathan Demme,,,88213
Tjejen som gjorde lumpen,Private Benjamin,1980,Howard Zieff,,,81375
The Mask,The Mask,1994,Chuck Russell,,,110475
Djungel George,George of the Jungle,1997,Sam Weisman,,,119190
Charlies änglar,Charlie's Angels,2000,McG,,,160127
Titanic,Titanic,1997,James Cameron,,,120338
Resident Evil,Resident Evil,2002,Paul W S Anderson,,,120804
Jagad,The Fugitive,1993,Andrew Davis,,,106977
En fisk som heter Wanda,A Fish Called Wanda ,1988,Charles Crichton,,,95159
Judge Dredd,Judge Dredd,1995,Danny Cannon,,,113492
Hackers,Hackers,1995,Iain Softley,,,113243
Batman och Robin,Batman & Robin,1997,Joel Schumacher,,,118688
Universal Soldier,Universal Soldier,1992,Roland Emmerich,,,105698
Edward Scissorhands,Edward Scissorhands,1990,Tim Burton,,,99487
Måndag hela veckan,Groundhog Day,1993,Harold Ramis,,,107048
The Ninth Gate,The Ninth Gate,1999,Roman Polanski,,,142688
Den heliga familjen Addams,Addams Family Values,1993,Barry Sonnenfeld,,,106220
Den galna professorn,The Nutty Professor,1996,Tom Shadyac,,,117218
Den osynlige,Den osynlige,2002,"Simon Sandquist, Joel Bergvall",,,298491
Den 13:e krigaren,The 13th Warrior,1999,John McTiernan,,,120657
"Sex, lögner och videoband","Sex, Lies, and Videotape",1989,Steven Soderbergh,,,98724
Festival,Festival,2001,Karl Johan Larsson,,,268303
The Shining,The Shining,1997,Mick Garris,,,118460
Wild Wild West,Wild Wild West,1999,Barry Sonnenfeld,,,120891
Rädda Willy,Free Willy,1993,Simon Wincer,,,106965
Harry Potter och de vises sten,Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,,,241527
Beach,The Beach,2000,Danny Boyle,,,163978
American Pie,American Pie,1999,Paul Weitz,,,163651
Sällskapsresan,Sällskapsresan,1980,Lasse Åberg,,,81590
Richie Rich,Richie Rich,1994,Donald Petrie,,,110989
Blair Witch Project 2,Book of Shadows: Blair Witch 2,2000,Joe Berlinger,,,229260
Jalla! Jalla!,Jalla! Jalla!,2000,Josef Fares,,,269389
Lejonkungen,The Lion King,1994,"Rob Minkoff, Roger Allers",,,110357
Dead Man,Dead Man,1995,Jim Jarmusch,,,112817
Virus,Virus,1999,John Bruno,,,120458
True Lies,True Lies,1994,James Cameron,,,111503
Timecop,Timecop,1994,Peter Hyams,,,111438
The Quest,The Quest,1996,Jean-Claude Van Damme,,,117420
Spawn,Spawn,1997,Mark A Z Dippé,,,120177
Snake Eyes,Snake Eyes,1998,Brian De Palma,,,120832
Roxanne,Roxanne,1987,Fred Schepisi,,,93886
Rovdjuret 2,Predator 2,1990,Stephen Hopkins,,,100403
Pretty Woman,Pretty Woman,1990,Garry Marshall,,,100405
Nätet,The Net,1995,Irwin Winkler,,,113957
Mannen med järnmasken,The Man in the Iron Mask,1998,Randall Wallace,,,120744
Killing Mrs Tingle,Teaching Mrs. Tingle,1999,Kevin Williamson,,,133046
Joker,Joker,1991,Sune Lund-Sørensen,,,102166
Galaxy Quest,Galaxy Quest,1999,Dean Parisot,,,177789
Flugan,The Fly,1986,David Cronenberg,,,91064
En vampyr i Brooklyn,Vampire in Brooklyn,1995,Wes Craven,,,114825
En amerikansk varulv i London,An American Werewolf in London,1981,John Landis,,,82010
Drömkåken,Drömkåken,1993,Peter Dalle,,,106779
Cutthroat Island,Cutthroat Island,1995,Renny Harlin,,,112760
Commando,Commando,1985,Mark L Lester,,,88944
The Postman - budbäraren,The Postman,1997,Kevin Costner,,,119925
Black Jack,Black Jack,1990,Colin Nutley,,,99142
Beowulf,Beowulf,1999,Graham Baker,,,120604
Street Fighter,Street Fighter,1994,Steven E De Souza,,,111301
Gunmen,Gunmen,1994,Deran Sarafian,,,109959
Dagissnuten,Kindergarten Cop,1990,Ivan Reitman,,,99938
Anakonda,Anaconda,1997,Luis Llosa,,,118615
Schindler's List,Schindler's List,1993,Steven Spielberg,,,108052
Cast Away,Cast Away,2000,Robert Zemeckis,,,162222
Glasblåsarns barn,Glasblåsarns barn,1998,Anders Grönros,,,119204
Highlander - Endgame,Highlander - Endgame,2000,Douglas Aarniokoski,,,144964
Highlander 3 - The Magician,Highlander: The Final Dimension,1994,Andrew Morahan,,,110027
Highlander 2,Highlander II: The Quickening,1990,Russell Mulcahy,,,102034
Highlander,Highlander,1986,Russell Mulcahy,,,91203
Gattaca,Gattaca,1997,Andrew Niccol,,,119177
Eyes Wide Shut,Eyes Wide Shut,1999,Stanley Kubrick,,,120663
Dragonheart,Dragonheart,1996,Rob Cohen,,,116136
Dark City,Dark City,1998,Alex Proyas,,,118929
American Psycho,American Psycho,2000,Mary Harron,,,144084
Experimentet,Das Experiment,2001,Oliver Hirschbiegel,,,250258
Signs,Signs,2002,M Night Shyamalan,,,286106
The Island of Dr. Moreau,The Island of Dr. Moreau,1996,John Frankenheimer,,,116654
Showgirls,Showgirls,1995,Paul Verhoeven,,,114436
Jag vet vad du gjorde förra sommaren,I Know What You Did Last Summer,1997,Jim Gillespie,,,119345
Flykten från Absolom,No Escape,1994,Martin Campbell,,,110678
En amerikansk varulv i Paris,An American Werewolf in Paris,1997,Anthony Waller,,,118604
Coneheads,Coneheads,1993,Steve Barron,,,106598
Congo,Congo,1995,Frank Marshall,,,112715
California Man,Encino Man,1992,Les Mayfield,,,104187
Blade,Blade,1998,Stephen Norrington,,,120611
Private Parts - Howard Sterns liv och underliv,Private Parts,1997,Betty Thomas,,,119951
Sjätte sinnet,The Sixth Sense,1999,M Night Shyamalan,,,167404
Bad Taste,Bad Taste,1987,Peter Jackson,,,92610
Den bästa sommaren,Den bästa sommaren,2000,Ulf Malmros,,,204932
Cocoon  djupets hemlighet,Cocoon,1985,Ron Howard,,,88933
Allt eller inget,The Full Monty,1997,Peter Cattaneo,,,119164
Entrapment,Entrapment,1999,Jon Amiel,,,137494
The Others,The Others,2001,Alejandro Amenábar,,,230600
Dragonfly,Dragonfly,2002,Tom Shadyac,,,259288
Torsk på Tallinn - En liten film om ensamhet,Torsk på Tallinn - En liten film om ensamhet,1999,Tomas Alfredson,,,378893
Monty Pythons Life of Brian - ett herrans liv,Life of Brian,1979,Terry Jones,,,79470
Snatch,Snatch.,2000,Guy Ritchie,,,208092
Star Wars: Episod II - Klonerna anfaller,Star Wars: Episode II - Attack of the Clones,2002,George Lucas,,,121765
Vilka svin,Meet the Feebles,1989,Peter Jackson,,,97858
Three Kings,Three Kings,1999,David O Russell,,,120188
Robocop II,Robocop II,1990,Irvin Kershner,,,100502
Gilbert Grape,What's Eating Gilbert Grape,1993,Lasse Hallström,,,108550
I spindelns nät,Along Came a Spider,2001,Lee Tamahori,,,164334
Sjön,The Lake,1998,David Jackson,,,137902
Mars Attacks!,Mars Attacks!,1996,Tim Burton,,,116996
Gone in 60 Seconds,Gone in Sixty Seconds,2000,Dominic Sena,,,187078
Tillsammans,Tillsammans,2000,Lukas Moodysson,,,203166
Men in Black,Men in Black,1997,Barry Sonnenfeld,,,119654
Independence Day,Independence Day,1996,Roland Emmerich,,,116629
Fenomen,Phenomenon,1996,Jon Turteltaub,,,117333
Willow,Willow,1988,Ron Howard,,,96446
The Crow,The Crow,1994,Alex Proyas,,,109506
Känd från TV,Känd från TV,2001,Fredrik Lindström,,,271031
"Liar, Liar",Liar Liar,1997,Tom Shadyac,,,119528
Korpen flyger,Hrafninn flýgur,1984,Hrafn Gunnlaugsson,,,87432
Den förste riddaren,First Knight,1995,Jerry Zucker,,,113071
Wild at Heart,Wild at Heart,1990,David Lynch,,,100935
Änglagård,Änglagård,1992,Colin Nutley,,,105916
"O Brother, Where Art Thou?","O Brother, Where Art Thou?",2000,"Joel Coen, Ethan Coen",,,190590
Time Machine,The Time Machine,2002,Simon Wells,,,268695
Thirteen Ghosts,Thir13en Ghosts,2001,Steve Beck,,,245674
Starship Troopers,Starship Troopers,1997,Paul Verhoeven,,,120201
Otäcka odjur,Fierce Creatures,1997,"Fred Schepisi, Robert Young (III)",,,119115
Little Nicky,Little Nicky,2000,Steven Brill,,,185431
Lost in Space,Lost in Space,1998,Stephen Hopkins,,,120738
Jumanji,Jumanji,1995,Joe Johnston,,,113497
Fist of the North Star,Fist of the North Star ,1995,Tony Randel,,,113074
The Ring,The Ring,2002,Gore Verbinski,,,298130
Jurtjyrkogården,Pet Sematary,1989,Mary Lambert,,,98084
Jerry Maguire,Jerry Maguire,1996,Cameron Crowe,,,116695
Imse vimse spindel,Arachnophobia,1990,Frank Marshall,,,99052
Hollow Man,Hollow Man,2000,Paul Verhoeven,,,164052
Hajen,Jaws,1975,Steven Spielberg,,,73195
Godzilla,Godzilla,1998,Roland Emmerich,,,120685
Fortress,Fortress,1992,Stuart Gordon,,,106950
Event Horizon,Event Horizon,1997,Paul W S Anderson,,,119081
Excalibur,Excalibur,1981,John Boorman,,,82348
Minority Report,Minority Report,2002,Steven Spielberg,,,181689
Jeanne d'Arc,The Messenger: The Story of Joan of Arc,1999,Luc Besson,,,151137
Ivanhoe,Ivanhoe,1982,Douglas Camfield,,,84157
Hannibal,Hannibal,2001,Ridley Scott,,,212985
Full Metal Jacket,Full Metal Jacket,1987,Stanley Kubrick,,,93058
Face/Off,Face/Off,1997,John Woo,,,119094
Enemy at the Gates,Enemy at the Gates,2001,Jean-Jacques Annaud,,,215750
Dum & dummare,Dumb & Dumber,1994,Peter Farrelly,,,109686
Det femte elementet,The Fifth Element,1997,Luc Besson,,,119116
Den där Mary,There's Something About Mary,1998,"Bobby Farrelly, Peter Farrelly",,,129387
"Crouching Tiger, Hidden Dragon",Wo hu cang long,2000,Ang Lee,,,190332
Den nakna pistolen,The Naked Gun: From the Files of Police Squad!,1988,David Zucker,,,95705
Vi hade i alla fall tur med vädret,Vi hade i alla fall tur med vädret,1980,Kjell Sundvall,,,81712
Avgrunden,The Abyss,1989,James Cameron,,,96754
The Game,The Game,1997,David Fincher,,,119174
Deep Blue Sea,Deep Blue Sea,1999,Renny Harlin,,,149261
Röd drake,Red Dragon ,2002,Brett Ratner,,,289765
Jakten på den försvunna skatten,Raiders of the Lost Ark,1981,Steven Spielberg,,,82971
Indiana Jones och de fördömdas tempel,Indiana Jones and the Temple of Doom,1984,Steven Spielberg,,,87469
Terminator 2 - domedagen,Terminator 2: Judgment Day,1991,James Cameron,,,103064
Terminator,The Terminator,1984,James Cameron,,,88247
Total Recall,Total Recall,1990,Paul Verhoeven,,,100802
Den tunna röda linjen,The Thin Red Line,1998,Terrence Malick,,,120863
Pitch Black,Pitch Black,2000,David Twohy,,,134847
Cliffhanger - svindlande avgrund,Cliffhanger,1993,Renny Harlin,,,106582
The Rock,The Rock,1996,Michael Bay,,,117500
Rädda menige Ryan,Saving Private Ryan,1998,Steven Spielberg,,,120815
Deer Hunter,The Deer Hunter,1978,Michael Cimino,,,77416
Boondock Saints,The Boondock Saints,1999,Troy Duffy,,,144117
Plutonen,Platoon,1986,Oliver Stone,,,91763
Gladiator,Gladiator,2000,Ridley Scott,,,172495
Seven,Se7en,1995,David Fincher,,,114369
Spider-Man,Spider-Man,2002,Sam Raimi,,,145487
Klassfesten,Klassfesten,2002,"Måns Herngren, Hannes Holm",,,297234
Matrix,The Matrix,1999,"Andy Wachowski, Lana Wachowski",,,133093
Jedins återkomst,Return of the Jedi,1983,Richard Marquand,,,86190
Rymdimperiet slår tillbaka,The Empire Strikes Back,1980,Irvin Kershner,,,80684
Dungeons & Dragons,Dungeons & Dragons,2000,Courtney Solomon,,,190374
Rätt upp i 90-talet,Blast from the Past,1999,Hugh Wilson,,,124298
Tigers film,The Tigger Movie,2000,Jun Falkenstein,,,220099
Terror Firmer,Terror Firmer,1999,Lloyd Kaufman,,,169299
Outbreak - I farozonen,Outbreak,1995,Wolfgang Petersen,,,114069
Copycat,Copycat,1995,Jon Amiel,,,112722
Firman,The Firm,1993,Sydney Pollack,,,106918
Klienten,The Client,1994,Joel Schumacher,,,109446
Fight Club,Fight Club,1999,David Fincher,,,137523
Det stora blå,Le Grand Bleu,1988,Luc Besson,,,95250
Den engelske patienten,The English Patient,1996,Anthony Minghella,,,116209
Basic Instinct - iskallt begär,Basic Instinct,1992,Paul Verhoeven,,,103772
Familjen Flinta,The Flintstones,1994,Brian Levant,,,109813
Eraser,Eraser,1996,Chuck Russell,,,116213
Ett päron till farsa firar jul,Christmas Vacation,1989,Jeremiah S Chechik,,,97958
En värsting till syster 2: redo att synda igen,Sister Act 2: Back in the Habit,1993,Bill Duke,,,108147
En värsting till syster,Sister Act,1992,Emile Ardolino,,,105417
Döden klär henne,Death Becomes Her,1992,Robert Zemeckis,,,104070
Dirty Dancing,Dirty Dancing,1987,Emile Ardolino,,,92890
Deep Rising,Deep Rising,1998,Stephen Sommers,,,118956
Cocktail,Cocktail,1988,Roger Donaldson,,,94889
Blues Brothers 2000,Blues Brothers 2000,1998,John Landis,,,118747
Apocalypse,Apocalypse Now,1979,Francis Ford Coppola,,,78788
Will Hunting,Good Will Hunting,1997,Gus Van Sant,,,119217
Mitt liv som hund,Mitt liv som hund,1985,Lasse Hallström,,,89606
Evil Dead,The Evil Dead,1981,Sam Raimi,,,83907
Dracula: Död men lycklig,Dracula: Dead and Loving It,1995,Mel Brooks,,,112896
Bringing Out the Dead,Bringing Out the Dead,1999,Martin Scorsese,,,163988
Return of the Living Dead 3,Return of the Living Dead III,1993,Brian Yuzna,,,107953
Return of the Living Dead,The Return of the Living Dead,1985,Dan O\'Bannon,,,89907
The Blair Witch Project,The Blair Witch Project,1999,"Daniel Myrick, Eduardo Sánchez",,,185937
Armageddon,Armageddon,1998,Michael Bay,,,120591
200-årsmannen,Bicentennial Man,1999,Chris Columbus,,,182789
He-Man - Universums härskare,Masters of the Universe,1987,Gary Goddard,,,93507
Tank Girl,Tank Girl,1995,Rachel Talalay,,,114614
Legenden - Mörkrets härskare,Legend,1985,Ridley Scott,,,89469
Den mörka kristallen,The Dark Crystal,1982,"Jim Henson, Frank Oz",,,83791
Conan  barbaren,Conan the Barbarian,1982,John Milius,,,82198
Ice Age,Ice Age,2002,Chris Wedge,,,268380
